 ;Hombres;Mujeres;ZONA;DIA;HORARIO;LUGAR VOTACION
Cabezón de Pisuerga;1.915;1.848;ESTE;05/09/2021;10:30 - 14:30;Pza. de la Concordia, 1
Cabezón de Valderaduey;24;17;NORTE;03/09/2021;10:45 - 11:45;C/ Tejar, 1
Cabreros del Monte;36;30;NORTE;04/09/2021;10:30 - 11:30;C/ Concejo, 1
Campaspero;595;465;ESTE;04/09/2021;10:30 - 13:30;Pza. Mayor, 1
Campillo, El;124;89;SUR;13/09/2021;12:30 - 13:30;Pza. España
Canalejas de Peñafiel;132;106;ESTE;13/09/2021;12:15 - 13:15;Pza. Mayor, 1
Canillas de Esgueva;43;32;ESTE;03/09/2021;11:00 - 12:00;Pza. Mayor, s/n
Carpio;535;459;SUR;13/09/2021;16:30 - 18:30;C/ Ayuntamiento, 1
Casasola de Arión;141;109;NORTE;07/09/2021;11:15 - 12:15;Pza. España
Castrejón de Trabancos;87;90;SUR;15/09/2021;11:45 - 12:45;Pza. Mayor
Castrillo de Duero;63;46;ESTE;14/09/2021;09:45 - 10:45;Pza. de la Constitución, 1
Castrillo-Tejeriego;89;74;ESTE;07/09/2021;11:00 - 12:00;Pza. Mayor, s/n
Castrobol;29;27;NORTE;03/09/2021;13:15 - 14:15;Pza. Mayor
Castrodeza;93;61;NORTE;01/09/2021;12:45 - 13:45;Pza. Mayor
Castromembibre;39;15;NORTE;13/09/2021;11:15 - 12:15;Pza. Mayor
Castromonte;171;147;NORTE;09/09/2021;12:00 - 13:00;Pza. Constitución
Castromonte LA SANTA ESPINA;;;NORTE;09/09/2021;13:30 - 14:30;Pza. Mayor
Castronuevo de Esgueva;199;171;ESTE;10/09/2021;13:30 - 14:30;Pza. Mayor, 1
Castronuño;417;416;SUR;01/09/2021;10:30 - 12:30;C/ Real, 80
Castroponce;76;62;NORTE;09/09/2021;10:45 - 11:45;Pza. Mayor
Castroverde de Cerrato;133;82;ESTE;06/09/2021;12:15 - 13:15;Pza. Mayor, 1
Ceinos de Campos;112;98;NORTE;13/09/2021;13:30 - 14:30;C/ Real, 13
Cervillego de la Cruz;51;36;SUR;07/09/2021;12:45 - 13:45;C/ Toribio Fraile
Cigales;2.714;2.614;NORTE;08/09 Y 14/09/2021;10:30 - 15:00 y 16:30 - 20:00;Pza Ayuntamiento y C/ Lagunajo (Iglesia de Santiago)
Ciguñuela;194;177;NORTE;06/09/2021;09:45 - 10:45;Pza. Mayor
Cistérniga;4.561;4.455;ESTE;3/09 y 10/09;10:30 - 15:00 y 16:30 - 20:00;Pza. Mayor y Pza. de la Cruz
Cogeces de Íscar;66;70;SUR;09/09/2021;12:45 - 13:45;Pza. Mayor
Cogeces del Monte;354;305;ESTE;07/09/2021;18:00 - 20:00;Pza. Mayor, s/n
Corcos;110;93;NORTE;02/09/2021;09:45 - 10:45;Pza. del Cristo
Corrales de Duero;65;48;ESTE;01/09/2021;11:00 - 12:00;C/ La Iglesia, 1
Cubillas de Santa Marta;191;138;NORTE;02/09/2021;12:45 - 13:45;Pza Villa del Prado
 Cuenca de Campos;112;103;NORTE;14/09/2021;13:45 - 14:45;Pza. Mayor
Curiel de Duero;76;42;ESTE;02/09/2021;09:45 - 10:45;Pza. de la Constitución, 1
Encinas de Esgueva;136;95;ESTE;03/09/2021;09:45 - 10:45;Pza. Mayor, 1
Esguevillas de Esgueva;147;118;ESTE;09/09/2021;09:45 - 10:45;C/ Ramón y Cajal, 4
Fombellida;102;74;ESTE;06/09/2021;09:45 - 10:45;Pza. Mayor, 1
Fompedraza;52;48;ESTE;13/09/2021;13:30 - 14:30;C/ Rosario, 23
Fontihoyuelo;23;16;NORTE;02/09/2021;09:30 - 10:30;C/ Real de Villalón, 16
Fresno el Viejo;473;405;SUR;09/09/2021;16:30 - 18:30;Pza. España
Fuensaldaña;1.008;946;NORTE;04/09/2021;10:30 - 13:30;C/ del Agua, 20
Fuente el Sol;79;71;SUR;07/09/2021;11:30 - 12:30;Pza. principal del municipio
Fuente-Olmedo;18;16;SUR;02/09/2021;10:15 - 11:15;Pza. Mayor
Gallegos de Hornija;58;57;NORTE;15/09/2021;13:45 - 14:45;Pza. Mayor, 2
Gatón de Campos;18;14;NORTE;15/09/2021;12:00 - 13:00;Pza. de Ruiz Ocaña
Geria;240;266;NORTE;09/09/2021;16:30 - 18:30;C/ González de la Mata, 4
Herrín de Campos;64;58;NORTE;06/09/2021;09:30 - 10:30;Pza. Mayor
